order_id,order_date,product_id,qty_ordered,customer_id
1000,2024-01-01,1,5,CUST_60
1001,2024-01-01,2,4,CUST_21
1002,2024-01-01,3,9,CUST_119
1003,2024-01-01,4,10,CUST_10
1004,2024-01-01,5,16,CUST_45
1005,2024-01-01,6,2,CUST_99
1006,2024-01-01,7,13,CUST_43
1007,2024-01-01,8,16,CUST_191
1008,2024-01-01,9,6,CUST_123
1009,2024-01-01,10,2,CUST_30
1010,2024-01-01,11,3,CUST_23
1011,2024-01-01,12,4,CUST_29
1012,2024-01-01,13,9,CUST_30
1013,2024-01-01,14,8,CUST_17
1014,2024-01-01,15,11,CUST_39
1015,2024-01-01,16,10,CUST_151
1016,2024-01-01,17,2,CUST_180
1017,2024-01-01,18,12,CUST_191
1018,2024-01-01,19,12,CUST_57
1019,2024-01-01,20,15,CUST_103
1020,2024-01-02,1,8,CUST_69
1021,2024-01-02,2,9,CUST_122
1022,2024-01-02,3,8,CUST_49
1023,2024-01-02,4,4,CUST_171
1024,2024-01-02,5,16,CUST_83
1025,2024-01-02,6,4,CUST_173
1026,2024-01-02,7,14,CUST_109
1027,2024-01-02,8,10,CUST_29
1028,2024-01-02,9,12,CUST_130
1029,2024-01-02,10,11,CUST_82
1030,2024-01-02,11,12,CUST_142
1031,2024-01-02,12,13,CUST_92
1032,2024-01-02,13,12,CUST_23
1033,2024-01-02,14,4,CUST_135
1034,2024-01-02,15,6,CUST_181
1035,2024-01-02,16,11,CUST_140
1036,2024-01-02,17,7,CUST_152
1037,2024-01-02,18,14,CUST_89
1038,2024-01-02,19,12,CUST_178
1039,2024-01-02,20,8,CUST_32
1040,2024-01-03,1,8,CUST_167
1041,2024-01-03,2,13,CUST_94
1042,2024-01-03,3,2,CUST_135
1043,2024-01-03,4,10,CUST_54
1044,2024-01-03,5,8,CUST_88
1045,2024-01-03,6,6,CUST_188
1046,2024-01-03,7,17,CUST_7
1047,2024-01-03,8,9,CUST_147
1048,2024-01-03,9,10,CUST_156
1049,2024-01-03,10,3,CUST_130
1050,2024-01-03,11,19,CUST_107
1051,2024-01-03,12,9,CUST_56
1052,2024-01-03,13,13,CUST_165
1053,2024-01-03,14,5,CUST_31
1054,2024-01-03,15,1,CUST_4
1055,2024-01-03,16,7,CUST_65
1056,2024-01-03,17,11,CUST_116
1057,2024-01-03,18,6,CUST_62
1058,2024-01-03,19,14,CUST_116
1059,2024-01-03,20,10,CUST_139
1060,2024-01-04,1,9,CUST_58
1061,2024-01-04,2,12,CUST_32
1062,2024-01-04,3,1,CUST_166
1063,2024-01-04,4,8,CUST_81
1064,2024-01-04,5,9,CUST_165
1065,2024-01-04,6,4,CUST_110
1066,2024-01-04,7,3,CUST_12
1067,2024-01-04,8,13,CUST_181
1068,2024-01-04,9,8,CUST_17
1069,2024-01-04,10,2,CUST_162
1070,2024-01-04,11,2,CUST_76
1071,2024-01-04,12,9,CUST_40
1072,2024-01-04,13,8,CUST_74
1073,2024-01-04,14,10,CUST_66
1074,2024-01-04,15,16,CUST_76
1075,2024-01-04,16,9,CUST_128
1076,2024-01-04,17,14,CUST_172
1077,2024-01-04,18,7,CUST_169
1078,2024-01-04,19,9,CUST_68
1079,2024-01-04,20,14,CUST_96
1080,2024-01-05,1,2,CUST_26
1081,2024-01-05,2,5,CUST_87
1082,2024-01-05,3,3,CUST_22
1083,2024-01-05,4,4,CUST_31
1084,2024-01-05,5,5,CUST_173
1085,2024-01-05,6,3,CUST_117
1086,2024-01-05,7,19,CUST_128
1087,2024-01-05,8,13,CUST_42
1088,2024-01-05,9,7,CUST_80
1089,2024-01-05,10,2,CUST_16
1090,2024-01-05,11,10,CUST_46
1091,2024-01-05,12,4,CUST_111
1092,2024-01-05,13,7,CUST_32
1093,2024-01-05,14,12,CUST_93
1094,2024-01-05,15,1,CUST_13
1095,2024-01-05,16,6,CUST_129
1096,2024-01-05,17,11,CUST_154
1097,2024-01-05,18,8,CUST_99
1098,2024-01-05,19,7,CUST_55
1099,2024-01-05,20,9,CUST_198
1100,2024-01-06,1,5,CUST_74
1101,2024-01-06,2,2,CUST_158
1102,2024-01-06,3,15,CUST_116
1103,2024-01-06,4,2,CUST_127
1104,2024-01-06,5,15,CUST_161
1105,2024-01-06,6,12,CUST_12
1106,2024-01-06,7,3,CUST_29
1107,2024-01-06,8,12,CUST_147
1108,2024-01-06,9,10,CUST_88
1109,2024-01-06,10,10,CUST_44
1110,2024-01-06,11,14,CUST_77
1111,2024-01-06,12,6,CUST_18
1112,2024-01-06,13,12,CUST_78
1113,2024-01-06,14,4,CUST_111
1114,2024-01-06,15,7,CUST_13
1115,2024-01-06,16,12,CUST_70
1116,2024-01-06,17,7,CUST_157
1117,2024-01-06,18,10,CUST_41
1118,2024-01-06,19,18,CUST_33
1119,2024-01-06,20,7,CUST_66
1120,2024-01-07,1,6,CUST_168
1121,2024-01-07,2,11,CUST_115
1122,2024-01-07,3,20,CUST_36
1123,2024-01-07,4,8,CUST_174
1124,2024-01-07,5,12,CUST_51
1125,2024-01-07,6,12,CUST_98
1126,2024-01-07,7,4,CUST_21
1127,2024-01-07,8,8,CUST_74
1128,2024-01-07,9,9,CUST_28
1129,2024-01-07,10,10,CUST_10
1130,2024-01-07,11,9,CUST_34
1131,2024-01-07,12,14,CUST_180
1132,2024-01-07,13,2,CUST_56
1133,2024-01-07,14,5,CUST_35
1134,2024-01-07,15,1,CUST_86
1135,2024-01-07,16,11,CUST_31
1136,2024-01-07,17,13,CUST_85
1137,2024-01-07,18,10,CUST_170
1138,2024-01-07,19,11,CUST_151
1139,2024-01-07,20,3,CUST_133
1140,2024-01-08,1,4,CUST_73
1141,2024-01-08,2,7,CUST_63
1142,2024-01-08,3,16,CUST_167
1143,2024-01-08,4,4,CUST_158
1144,2024-01-08,5,8,CUST_60
1145,2024-01-08,6,11,CUST_149
1146,2024-01-08,7,7,CUST_101
1147,2024-01-08,8,2,CUST_69
1148,2024-01-08,9,9,CUST_140
1149,2024-01-08,10,6,CUST_161
1150,2024-01-08,11,15,CUST_93
1151,2024-01-08,12,16,CUST_128
1152,2024-01-08,13,6,CUST_20
1153,2024-01-08,14,9,CUST_100
1154,2024-01-08,15,9,CUST_148
1155,2024-01-08,16,4,CUST_116
1156,2024-01-08,17,8,CUST_57
1157,2024-01-08,18,6,CUST_18
1158,2024-01-08,19,23,CUST_26
1159,2024-01-08,20,7,CUST_52
1160,2024-01-09,1,8,CUST_167
1161,2024-01-09,2,2,CUST_7
1162,2024-01-09,3,6,CUST_194
1163,2024-01-09,4,4,CUST_93
1164,2024-01-09,5,17,CUST_118
1165,2024-01-09,6,7,CUST_160
1166,2024-01-09,7,4,CUST_18
1167,2024-01-09,8,3,CUST_145
1168,2024-01-09,9,14,CUST_138
1169,2024-01-09,10,5,CUST_132
1170,2024-01-09,11,1,CUST_193
1171,2024-01-09,12,15,CUST_89
1172,2024-01-09,13,11,CUST_195
1173,2024-01-09,14,6,CUST_186
1174,2024-01-09,15,10,CUST_164
1175,2024-01-09,16,8,CUST_103
1176,2024-01-09,17,3,CUST_196
1177,2024-01-09,18,9,CUST_178
1178,2024-01-09,19,2,CUST_151
1179,2024-01-09,20,6,CUST_50
1180,2024-01-10,1,14,CUST_91
1181,2024-01-10,2,8,CUST_163
1182,2024-01-10,3,5,CUST_186
1183,2024-01-10,4,8,CUST_47
1184,2024-01-10,5,4,CUST_37
1185,2024-01-10,6,6,CUST_112
1186,2024-01-10,7,9,CUST_8
1187,2024-01-10,8,4,CUST_139
1188,2024-01-10,9,13,CUST_30
1189,2024-01-10,10,10,CUST_123
1190,2024-01-10,11,14,CUST_175
1191,2024-01-10,12,10,CUST_71
1192,2024-01-10,13,7,CUST_89
1193,2024-01-10,14,6,CUST_19
1194,2024-01-10,15,4,CUST_100
1195,2024-01-10,16,3,CUST_102
1196,2024-01-10,17,7,CUST_23
1197,2024-01-10,18,10,CUST_181
1198,2024-01-10,19,15,CUST_186
1199,2024-01-10,20,3,CUST_26
1200,2024-01-11,1,3,CUST_182
1201,2024-01-11,2,15,CUST_153
1202,2024-01-11,3,17,CUST_161
1203,2024-01-11,4,2,CUST_193
1204,2024-01-11,5,6,CUST_185
1205,2024-01-11,6,8,CUST_77
1206,2024-01-11,7,22,CUST_99
1207,2024-01-11,8,7,CUST_23
1208,2024-01-11,9,4,CUST_27
1209,2024-01-11,10,2,CUST_55
1210,2024-01-11,11,14,CUST_43
1211,2024-01-11,12,16,CUST_194
1212,2024-01-11,13,2,CUST_198
1213,2024-01-11,14,6,CUST_175
1214,2024-01-11,15,3,CUST_24
1215,2024-01-11,16,7,CUST_193
1216,2024-01-11,17,10,CUST_77
1217,2024-01-11,18,1,CUST_75
1218,2024-01-11,19,6,CUST_188
1219,2024-01-11,20,4,CUST_138
1220,2024-01-12,1,9,CUST_12
1221,2024-01-12,2,12,CUST_30
1222,2024-01-12,3,11,CUST_160
1223,2024-01-12,4,5,CUST_147
1224,2024-01-12,5,5,CUST_39
1225,2024-01-12,6,8,CUST_11
1226,2024-01-12,7,8,CUST_117
1227,2024-01-12,8,7,CUST_176
1228,2024-01-12,9,8,CUST_160
1229,2024-01-12,10,5,CUST_82
1230,2024-01-12,11,13,CUST_188
1231,2024-01-12,12,7,CUST_38
1232,2024-01-12,13,13,CUST_127
1233,2024-01-12,14,1,CUST_38
1234,2024-01-12,15,2,CUST_89
1235,2024-01-12,16,13,CUST_139
1236,2024-01-12,17,9,CUST_57
1237,2024-01-12,18,19,CUST_112
1238,2024-01-12,19,8,CUST_70
1239,2024-01-12,20,8,CUST_117
1240,2024-01-13,1,3,CUST_57
1241,2024-01-13,2,8,CUST_191
1242,2024-01-13,3,13,CUST_70
1243,2024-01-13,4,8,CUST_31
1244,2024-01-13,5,10,CUST_123
1245,2024-01-13,6,12,CUST_150
1246,2024-01-13,7,6,CUST_55
1247,2024-01-13,8,2,CUST_18
1248,2024-01-13,9,14,CUST_135
1249,2024-01-13,10,15,CUST_137
1250,2024-01-13,11,8,CUST_14
1251,2024-01-13,12,6,CUST_44
1252,2024-01-13,13,10,CUST_198
1253,2024-01-13,14,16,CUST_161
1254,2024-01-13,15,6,CUST_13
1255,2024-01-13,16,13,CUST_27
1256,2024-01-13,17,18,CUST_158
1257,2024-01-13,18,3,CUST_199
1258,2024-01-13,19,4,CUST_103
1259,2024-01-13,20,13,CUST_184
1260,2024-01-14,1,14,CUST_171
1261,2024-01-14,2,13,CUST_155
1262,2024-01-14,3,7,CUST_169
1263,2024-01-14,4,6,CUST_61
1264,2024-01-14,5,4,CUST_48
1265,2024-01-14,6,4,CUST_163
1266,2024-01-14,7,8,CUST_176
1267,2024-01-14,8,13,CUST_169
1268,2024-01-14,9,9,CUST_96
1269,2024-01-14,10,11,CUST_172
1270,2024-01-14,11,12,CUST_60
1271,2024-01-14,12,3,CUST_15
1272,2024-01-14,13,8,CUST_171
1273,2024-01-14,14,6,CUST_59
1274,2024-01-14,15,4,CUST_102
1275,2024-01-14,16,6,CUST_76
1276,2024-01-14,17,4,CUST_13
1277,2024-01-14,18,5,CUST_182
1278,2024-01-14,19,6,CUST_25
1279,2024-01-14,20,6,CUST_6
1280,2024-01-15,1,11,CUST_122
1281,2024-01-15,2,3,CUST_136
1282,2024-01-15,3,7,CUST_139
1283,2024-01-15,4,6,CUST_3
1284,2024-01-15,5,2,CUST_29
1285,2024-01-15,6,2,CUST_198
1286,2024-01-15,7,15,CUST_37
1287,2024-01-15,8,13,CUST_135
1288,2024-01-15,9,13,CUST_110
1289,2024-01-15,10,11,CUST_112
1290,2024-01-15,11,4,CUST_69
1291,2024-01-15,12,8,CUST_49
1292,2024-01-15,13,2,CUST_121
1293,2024-01-15,14,9,CUST_111
1294,2024-01-15,15,13,CUST_6
1295,2024-01-15,16,6,CUST_103
1296,2024-01-15,18,5,CUST_135
1297,2024-01-15,19,6,CUST_31
1298,2024-01-15,20,11,CUST_75
1299,2024-01-16,1,4,CUST_132
1300,2024-01-16,2,1,CUST_158
1301,2024-01-16,3,4,CUST_144
1302,2024-01-16,4,6,CUST_161
1303,2024-01-16,5,5,CUST_46
1304,2024-01-16,6,4,CUST_15
1305,2024-01-16,7,7,CUST_128
1306,2024-01-16,8,10,CUST_60
1307,2024-01-16,9,3,CUST_102
1308,2024-01-16,10,10,CUST_112
1309,2024-01-16,11,5,CUST_14
1310,2024-01-16,12,3,CUST_7
1311,2024-01-16,13,11,CUST_70
1312,2024-01-16,14,13,CUST_127
1313,2024-01-16,15,5,CUST_33
1314,2024-01-16,16,5,CUST_30
1315,2024-01-16,17,4,CUST_144
1316,2024-01-16,18,5,CUST_27
1317,2024-01-16,19,7,CUST_197
1318,2024-01-16,20,3,CUST_180
1319,2024-01-17,1,5,CUST_133
1320,2024-01-17,2,16,CUST_5
1321,2024-01-17,3,7,CUST_74
1322,2024-01-17,4,11,CUST_16
1323,2024-01-17,5,3,CUST_61
1324,2024-01-17,6,5,CUST_176
1325,2024-01-17,7,6,CUST_181
1326,2024-01-17,8,14,CUST_134
1327,2024-01-17,9,3,CUST_120
1328,2024-01-17,10,5,CUST_30
1329,2024-01-17,11,1,CUST_131
1330,2024-01-17,12,2,CUST_68
1331,2024-01-17,13,17,CUST_131
1332,2024-01-17,14,3,CUST_117
1333,2024-01-17,15,2,CUST_180
1334,2024-01-17,16,11,CUST_177
1335,2024-01-17,17,9,CUST_36
1336,2024-01-17,18,2,CUST_25
1337,2024-01-17,19,11,CUST_42
1338,2024-01-17,20,14,CUST_33
1339,2024-01-18,1,15,CUST_106
1340,2024-01-18,2,3,CUST_21
1341,2024-01-18,3,17,CUST_136
1342,2024-01-18,4,6,CUST_53
1343,2024-01-18,5,2,CUST_61
1344,2024-01-18,6,11,CUST_185
1345,2024-01-18,7,5,CUST_5
1346,2024-01-18,8,2,CUST_76
1347,2024-01-18,9,12,CUST_8
1348,2024-01-18,10,13,CUST_12
1349,2024-01-18,11,4,CUST_190
1350,2024-01-18,12,8,CUST_56
1351,2024-01-18,13,4,CUST_175
1352,2024-01-18,14,13,CUST_172
1353,2024-01-18,15,6,CUST_97
1354,2024-01-18,16,6,CUST_174
1355,2024-01-18,17,5,CUST_74
1356,2024-01-18,18,7,CUST_58
1357,2024-01-18,19,7,CUST_36
1358,2024-01-18,20,9,CUST_183
1359,2024-01-19,1,6,CUST_9
1360,2024-01-19,2,1,CUST_125
1361,2024-01-19,3,11,CUST_92
1362,2024-01-19,4,13,CUST_168
1363,2024-01-19,5,3,CUST_165
1364,2024-01-19,6,11,CUST_34
1365,2024-01-19,7,14,CUST_82
1366,2024-01-19,8,8,CUST_52
1367,2024-01-19,9,1,CUST_136
1368,2024-01-19,10,6,CUST_103
1369,2024-01-19,11,2,CUST_132
1370,2024-01-19,12,4,CUST_66
1371,2024-01-19,13,12,CUST_5
1372,2024-01-19,14,3,CUST_192
1373,2024-01-19,15,8,CUST_64
1374,2024-01-19,16,14,CUST_98
1375,2024-01-19,17,2,CUST_79
1376,2024-01-19,18,4,CUST_130
1377,2024-01-19,19,16,CUST_156
1378,2024-01-19,20,16,CUST_50
1379,2024-01-20,1,12,CUST_180
1380,2024-01-20,2,10,CUST_58
1381,2024-01-20,3,5,CUST_47
1382,2024-01-20,4,10,CUST_110
1383,2024-01-20,5,13,CUST_199
1384,2024-01-20,6,3,CUST_139
1385,2024-01-20,7,2,CUST_198
1386,2024-01-20,8,10,CUST_185
1387,2024-01-20,9,6,CUST_178
1388,2024-01-20,10,11,CUST_56
1389,2024-01-20,11,10,CUST_30
1390,2024-01-20,12,10,CUST_116
1391,2024-01-20,13,5,CUST_103
1392,2024-01-20,14,2,CUST_105
1393,2024-01-20,15,17,CUST_112
1394,2024-01-20,16,4,CUST_199
1395,2024-01-20,17,8,CUST_117
1396,2024-01-20,18,6,CUST_20
1397,2024-01-20,19,9,CUST_33
1398,2024-01-20,20,12,CUST_111
1399,2024-01-21,1,13,CUST_141
1400,2024-01-21,2,4,CUST_35
1401,2024-01-21,3,7,CUST_17
1402,2024-01-21,4,12,CUST_164
1403,2024-01-21,5,7,CUST_162
1404,2024-01-21,6,3,CUST_28
1405,2024-01-21,7,4,CUST_8
1406,2024-01-21,8,6,CUST_119
1407,2024-01-21,9,17,CUST_85
1408,2024-01-21,10,4,CUST_18
1409,2024-01-21,11,16,CUST_94
1410,2024-01-21,12,12,CUST_114
1411,2024-01-21,13,5,CUST_115
1412,2024-01-21,14,13,CUST_69
1413,2024-01-21,15,12,CUST_29
1414,2024-01-21,16,18,CUST_36
1415,2024-01-21,17,6,CUST_146
1416,2024-01-21,18,5,CUST_67
1417,2024-01-21,19,2,CUST_184
1418,2024-01-21,20,10,CUST_180
1419,2024-01-22,1,7,CUST_197
1420,2024-01-22,2,4,CUST_149
1421,2024-01-22,3,3,CUST_83
1422,2024-01-22,4,10,CUST_39
1423,2024-01-22,5,6,CUST_160
1424,2024-01-22,6,4,CUST_158
1425,2024-01-22,7,3,CUST_123
1426,2024-01-22,8,14,CUST_11
1427,2024-01-22,9,6,CUST_195
1428,2024-01-22,10,3,CUST_93
1429,2024-01-22,11,12,CUST_14
1430,2024-01-22,12,8,CUST_159
1431,2024-01-22,13,13,CUST_141
1432,2024-01-22,14,5,CUST_186
1433,2024-01-22,15,7,CUST_79
